Fast-Food Chains,U.S. Systemwide Sales (Millions - U.S Dollars),Average Sales per Unit (Thousands - U.S Dollars),Franchised Stores,Company Stores,2021 Total Units,Total Change in Units from 2020,U.S Systemwide Sales (millions - u.s dollars)
Arby’s,4462.0,1309,2293,1116,3409,40,
Baskin-Robbins,686.0,296,2317,0,2317,102,
Bojangles,1485.0,1924,496,277,773,15,
Burger King,10033.0,1470,7054,51,7105,24,
Chick-fil-A,16700.0,6100,2650,82,2732,155,
Chipotle,7547.0,2641,0,2966,2966,198,
Culver’s,2489.0,3099,831,6,837,55,
Del Taco,931.0,1551,306,294,600,4,
Domino's,8641.0,1317,6185,375,6560,205,
Dunkin',10416.0,1127,9244,0,9244,161,
El Pollo Loco,973.0,2000,292,189,481,1,
Firehouse Subs,1044.0,909,1101,39,1140,9,
Five Guys,2093.0,3172,911,479,1390,8,
Freddy’s Frozen Custard & Steakburgers,759.0,1842,391,29,420,32,
In-N-Out Burger,1175.0,3200,0,370,370,5,
Jersey Mike’s,2203.0,1145,2087,13,2100,246,
Jimmy John’s,2301.0,866,2616,41,2657,48,
KFC,5100.0,1408,3906,47,3953,10,
Krispy Kreme,996.0,4000,51,307,358,6,
Marco’s Pizza,899.0,934,957,45,1002,48,
McAlister’s Deli,869.0,1866,472,33,505,24,
McDonald’s,45960.0,3420,12775,663,13438,244,
Panda Express,4452.0,2173,147,2187,2334,150,
Papa Johns,3486.0,1147,2564,600,3164,30,
Popeyes Louisiana Kitchen,4775.0,1867,2716,41,2754,146,
QDOBA,835.0,1006,406,333,739,2,
Raising Cane’s,2377.0,4893,23,544,567,58,
Shake Shack,777.0,3679,25,218,243,38,
Sonic Drive-In,5835.0,1643,3232,320,3552,26,
Starbucks,24300.0,1200,6497,8953,15450,113,
Taco Bell,12600.0,1823,6540,462,7002,203,
Tim Hortons,687.0,1200,637,0,637,4,
Tropical Smoothie Cafe,948.0,1009,1038,1,1039,125,
Wendy's,11111.0,1895,5535,403,5938,57,
Whataburger,3089.0,3640,131,742,873,29,
Wingstop,2278.0,1592,1498,36,1534,175,
Zaxby’s,2233.0,2484,761,147,908,3,
Subway,,400,2000,500,2500,50,1000.0
